"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"172"," Detailhandel mit Tabakwaren","472600","47","4",27,20,-25.9259259259259,"-2"
"173"," Detailhandel mit Milcherzeugnissen und Eiern","472901","47","4",9,14,55.5555555555556,"2"
"174"," Sonstiger Fachdetailhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren a. n. g. (in Verkaufsräumen)","472902","47","4",181,182,0.552486187845314,"0"
"175"," Detailhandel mit Motorenkraftstoffen (Tankstellen)","473000","47","4",125,119,-4.8,"0"
"176"," Detailhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software","474100","47","4",179,169,-5.58659217877095,"-1"
"177"," Detailhandel mit Telekommunikationsgeräten","474200","47","4",34,46,35.2941176470588,"2"
"178"," Detailhandel mit Geräten der Unterhaltungselektronik","474300","47","4",249,123,-50.6024096385542,"-2"
"179"," Detailhandel mit Textilien","475100","47","4",81,83,2.46913580246915,"0"
"180"," Sonstiger Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf","475202","47","4",185,150,-18.9189189189189,"-1"
"181"," Detailhandel mit Vorhängen, Teppichen, Fussbodenbelägen und Tapeten","475300","47","4",21,7,-66.6666666666667,"-2"
"182"," Detailhandel mit elektrischen Haushaltsgeräten","475400","47","4",41,34,-17.0731707317073,"-1"
"183"," Detailhandel mit Musikinstrumenten","475901","47","4",51,36,-29.4117647058823,"-2"
"184"," Detailhandel mit Möbeln","475902","47","4",162,118,-27.1604938271605,"-2"
"185"," Detailhandel mit Einrichtungsgegenständen und Hausrat a. n. g.","475903","47","4",62,67,8.06451612903225,"1"
"186"," Detailhandel mit Büchern","476100","47","4",195,130,-33.3333333333333,"-2"
"187"," Detailhandel mit Zeitschriften und Zeitungen, Kioske","476201","47","4",236,184,-22.0338983050847,"-2"
"188"," Detailhandel mit Schreibwaren und Bürobedarf","476202","47","4",89,50,-43.8202247191011,"-2"
"189"," Detailhandel mit bespielten Ton- und Bildträgern","476300","47","4",23,14,-39.1304347826087,"-2"
"190"," Detailhandel mit Fahrrädern","476401","47","4",85,100,17.6470588235294,"1"
"191"," Detailhandel mit Sportartikeln","476402","47","4",252,259,2.77777777777777,"0"
"192"," Detailhandel mit Spielwaren","476500","47","4",65,50,-23.0769230769231,"-2"
"193"," Detailhandel mit Damenbekleidung","477101","47","4",406,300,-26.1083743842365,"-2"
"194"," Detailhandel mit Herrenbekleidung","477102","47","4",97,70,-27.8350515463918,"-2"
"195"," Detailhandel mit Säuglings- und Kinderbekleidung","477103","47","4",13,23,76.9230769230769,"2"
"196"," Detailhandel mit Bekleidungszubehör und Bekleidung ohne ausgeprägten Schwerpunkt","477105","47","4",755,563,-25.4304635761589,"-2"
"197"," Detailhandel mit Schuhen","477201","47","4",311,208,-33.1189710610932,"-2"
"198"," Detailhandel mit Lederwaren und Reiseartikeln","477202","47","4",34,31,-8.82352941176471,"-1"
"199"," Apotheken","477300","47","4",798,811,1.62907268170427,"0"
"200"," Detailhandel mit medizinischen und orthopädischen Artikeln","477400","47","4",36,15,-58.3333333333333,"-2"
"201"," Drogerien","477501","47","4",99,103,4.04040404040404,"0"
"202"," Parfümerien und sonstiger Detailhandel mit kosmetischen Artikeln und Körperpflegemitteln","477502","47","4",193,175,-9.32642487046632,"-1"
"203"," Detailhandel mit Blumen und Pflanzen","477602","47","4",135,117,-13.3333333333333,"-1"
"204"," Detailhandel mit Haustieren und zoologischem Bedarf für Haustiere","477603","47","4",36,34,-5.55555555555556,"-1"
"205"," Detailhandel mit Uhren und Schmuck","477700","47","4",293,222,-24.2320819112628,"-2"
"206"," Detailhandel mit Brennstoffen und Heizmaterial","477801","47","4",10,12,20,"1"
"207"," Detailhandel mit Brillen und anderen Sehhilfen","477802","47","4",295,287,-2.71186440677966,"0"
"208"," Detailhandel mit fotografischen Artikeln","477803","47","4",13,15,15.3846153846154,"1"
"209"," Detailhandel mit Geschenkartikeln und Souvenirs","477804","47","4",36,15,-58.3333333333333,"-2"
"210"," Kunsthandel","477805","47","4",113,114,0.884955752212391,"0"
"211"," Sonstiger Fachdetailhandel a. n. g. (in Verkaufsräumen)","477806","47","4",88,67,-23.8636363636364,"-2"
"212"," Detailhandel mit Antiquitäten","477901","47","4",38,19,-50,"-2"
"213"," Detailhandel mit Gebrauchtwaren a. n. g. (in Verkaufsräumen)","477902","47","4",115,118,2.60869565217392,"0"
"214"," Detailhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Märkten","478100","47","4",16,9,-43.75,"-2"
"215"," Detailhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten","478900","47","4",10,6,-40,"-2"
"216"," Versand- und Internet-Detailhandel","479100","47","4",92,124,34.7826086956522,"2"
"217"," Sonstiger Detailhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten","479900","47","4",14,15,7.14285714285714,"1"
"218"," Personenbeförderung im Eisenbahnfernverkehr","491000","49","4",1292,1260,-2.47678018575851,"0"
"219"," Güterbeförderung im Eisenbahnverkehr","492000","49","4",81,61,-24.6913580246914,"-2"
"220"," Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)","493100","49","4",1105,1263,14.2986425339366,"1"
"221"," Betrieb von Taxis","493200","49","4",560,357,-36.25,"-2"
"222"," Nicht-regelmässiger Personenbeförderung im Landverkehr","493901","49","4",27,20,-25.9259259259259,"-2"
"223"," Regelmässige Personenbeförderung im Regional- und Fernverkehr","493902","49","4",88,55,-37.5,"-2"
"224"," Güterbeförderung im Strassenverkehr","494100","49","4",989,953,-3.64004044489383,"0"
"225"," Umzugstransporte","494200","49","4",151,140,-7.28476821192053,"-1"
"226"," Personenbeförderung in der See- und Küstenschifffahrt","501000","50","5",12,6,-50,"-2"
"227"," Güterbeförderung in der See- und Küstenschifffahrt","502000","50","5",8,8,0,"0"
"228"," Personenbeförderung in der Binnenschifffahrt","503000","50","5",1059,1005,-5.09915014164306,"-1"
"229"," Güterbeförderung in der Binnenschifffahrt","504000","50","5",339,260,-23.3038348082596,"-2"
"230"," Personenbeförderung in der Luftfahrt","511000","51","5",796,856,7.53768844221105,"1"
"231"," Güterbeförderung in der Luftfahrt","512100","51","5",8,6,-25,"-2"
"232"," Lagerung","521000","52","5",173,63,-63.5838150289017,"-2"
"233"," Erbringung von sonstigen Dienstleistungen für den Landverkehr","522100","52","5",65,86,32.3076923076923,"2"
"234"," Erbringung von sonstigen Dienstleistungen für die Schifffahrt","522200","52","5",117,147,25.6410256410256,"2"
"235"," Erbringung von sonstigen Dienstleistungen für die Luftfahrt","522300","52","5",700,680,-2.85714285714286,"0"
"236"," Frachtumschlag","522400","52","5",34,20,-41.1764705882353,"-2"
"237"," Erbringung von sonstigen Dienstleistungen für den Verkehr a. n. g.","522900","52","5",2228,2017,-9.47037701974866,"-1"
"238"," Postdienste von Universaldienstleistungsanbietern","531000","53","5",647,515,-20.4018547140649,"-2"
"239"," Sonstige Post-, Kurier- und Expressdienste","532000","53","5",1320,1331,0.83333333333333,"0"
"240"," Hotels, Gasthöfe und Pensionen mit Restaurant","551001","55","5",1630,1196,-26.6257668711656,"-2"
"241"," Hotels, Gasthöfe und Pensionen ohne Restaurant","551002","55","5",93,86,-7.52688172043011,"-1"
"242"," Verwaltung von Hotels, Gasthöfen und Pensionen","551003","55","5",20,13,-35,"-2"
"243"," Ferienwohnungen, Ferienhäuser","552001","55","5",43,31,-27.9069767441861,"-2"
"244"," Sonstige Beherbergungsstätten","559000","55","5",9,10,11.1111111111111,"1"
"245"," Restaurants, Imbissstuben, Tea-Rooms und Gelaterias","561001","56","5",4830,4514,-6.54244306418219,"-1"
"246"," Event-Caterer","562100","56","5",2140,405,-81.0747663551402,"-2"
"247"," Erbringung sonstiger Verpflegungsdienstleistungen","562900","56","5",1043,929,-10.9300095877277,"-1"
"248"," Bars","563001","56","5",592,482,-18.5810810810811,"-1"
"249"," Diskotheken, Dancings, Night Clubs","563002","56","5",170,118,-30.5882352941176,"-2"
"250"," Verlegen von Büchern","581100","58","5",162,175,8.02469135802468,"1"
"251"," Verlegen von Zeitungen","581300","58","5",348,159,-54.3103448275862,"-2"
